date,	cases,	country,
21/01/2020,	1,	United States of America,
20/01/2020,	0,	United States of America,
19/01/2020,	0,	United States of America,
18/01/2020,	0,	United States of America,
17/01/2020,	0,	United States of America,
16/01/2020,	0,	United States of America,
15/01/2020,	0,	United States of America,
14/01/2020,	0,	United States of America,
13/01/2020,	0,	United States of America,
44166,	0,	United States of America,
44136,	0,	United States of America,
44105,	0,	United States of America,
44075,	0,	United States of America,
44044,	0,	United States of America,
44013,	0,	United States of America,
43983,	0,	United States of America,
43952,	0,	United States of America,
43922,	0,	United States of America,
43891,	0,	United States of America,
43862,	0,	United States of America,
43831,	0,	United States of America,
31/12/2019,	0,	United States of America,
